borough,communitydistrict,waste type,month,quantity
Bronx,1,other organics,5,0
Bronx,1,paper,5,252.9
Bronx,1,refuse,5,3433.3
Bronx,1,res organics,5,19.8
Bronx,1,school organic,5,91.9
Bronx,1,xmastree,5,0
Bronx,10,leaves organic,5,0
Bronx,10,mgp,5,373.4
Bronx,10,other organics,5,0
Bronx,10,paper,5,321.8
Bronx,10,refuse,5,2719.9
Bronx,10,res organics,5,219.3
Bronx,10,school organic,5,62.1
Bronx,10,xmastree,5,0
Bronx,11,leaves organic,5,0
Bronx,11,mgp,5,351.3
Bronx,11,other organics,5,0
Bronx,11,paper,5,306.5
Bronx,11,refuse,5,3298.3
Bronx,11,res organics,5,202.1
Bronx,11,school organic,5,91
Bronx,11,xmastree,5,0
Bronx,12,leaves organic,5,0
Bronx,12,mgp,5,580.3
Bronx,12,other organics,5,0
Bronx,12,paper,5,346.5
Bronx,12,refuse,5,3959.1
Bronx,12,res organics,5,357
Bronx,12,school organic,5,0
Bronx,12,xmastree,5,0
Bronx,2,leaves organic,5,0
Bronx,2,mgp,5,228.5
Bronx,2,other organics,5,0
Bronx,2,paper,5,222.6
Bronx,2,refuse,5,8300.8
Bronx,2,res organics,5,25.9
Bronx,2,school organic,5,0
Bronx,2,xmastree,5,0
Bronx,3,leaves organic,5,0
Bronx,3,mgp,5,140
Bronx,3,other organics,5,0
Bronx,3,paper,5,146.6
Bronx,3,refuse,5,2318.3
Bronx,3,res organics,5,14.8
Bronx,3,school organic,5,92.9
Bronx,3,xmastree,5,0
Bronx,4,leaves organic,5,0
Bronx,4,mgp,5,305.9
Bronx,4,other organics,5,0
Bronx,4,paper,5,262
Bronx,4,refuse,5,4235.6
Bronx,4,res organics,5,21.2
Bronx,4,school organic,5,71.4
Bronx,4,xmastree,5,0
Bronx,5,leaves organic,5,0
Bronx,5,mgp,5,313.8
Bronx,5,other organics,5,0
Bronx,5,paper,5,234.9
Bronx,5,refuse,5,3639.6
Bronx,5,res organics,5,20.6
Bronx,5,school organic,5,86
Bronx,5,xmastree,5,0
Bronx,6,leaves organic,5,0
Bronx,6,mgp,5,180.9
Bronx,6,other organics,5,0
Bronx,6,paper,5,197.8
Bronx,6,refuse,5,3429.1
Bronx,6,res organics,5,14
Bronx,6,school organic,5,53.9
Bronx,6,xmastree,5,0
Bronx,7,leaves organic,5,0
Bronx,7,mgp,5,441.1
Bronx,7,other organics,5,0
Bronx,7,paper,5,313.6
Bronx,7,refuse,5,3938.9
Bronx,7,res organics,5,46.7
Bronx,7,school organic,5,50.7
Bronx,7,xmastree,5,0
Bronx,8,leaves organic,5,0
Bronx,8,mgp,5,343.9
Bronx,8,other organics,5,0
Bronx,8,paper,5,300.9
Bronx,8,refuse,5,2424.1
Bronx,8,res organics,5,161.8
Bronx,8,school organic,5,0
Bronx,8,xmastree,5,0
Bronx,9,leaves organic,5,0
Bronx,9,mgp,5,402
Bronx,9,other organics,5,0
Bronx,9,paper,5,262.2
Bronx,9,refuse,5,3939.4
Bronx,9,res organics,5,127.5
Bronx,9,school organic,5,0
Bronx,9,xmastree,5,0
Bronx,1,leaves organic,6,0
Bronx,1,mgp,6,139.4
Bronx,1,other organics,6,0
Bronx,1,paper,6,248.8
Bronx,1,refuse,6,3504.9
Bronx,1,res organics,6,20.7
Bronx,1,school organic,6,65
Bronx,1,xmastree,6,0
Bronx,10,leaves organic,6,0
Bronx,10,mgp,6,333.6
Bronx,10,other organics,6,0
Bronx,10,paper,6,289.6
Bronx,10,refuse,6,2644.5
Bronx,10,res organics,6,180.8
Bronx,10,school organic,6,49.4
Bronx,10,xmastree,6,0
Bronx,11,leaves organic,6,0
Bronx,11,mgp,6,314.3
Bronx,11,other organics,6,0
Bronx,11,paper,6,281.1
Bronx,11,refuse,6,3286.4
Bronx,11,res organics,6,175.6
Bronx,11,school organic,6,60.1
Bronx,11,xmastree,6,0
Bronx,12,leaves organic,6,0
Bronx,12,mgp,6,542.3
Bronx,12,other organics,6,0
Bronx,12,paper,6,321.2
Bronx,12,refuse,6,3888.9
Bronx,12,res organics,6,316.1
Bronx,12,school organic,6,0
Bronx,12,xmastree,6,0
Bronx,2,leaves organic,6,0
Bronx,2,mgp,6,191.1
Bronx,2,other organics,6,0
Bronx,2,paper,6,212.3
Bronx,2,refuse,6,7742.5
Bronx,2,res organics,6,15.4
Bronx,2,school organic,6,0
Bronx,2,xmastree,6,0
Bronx,3,leaves organic,6,0
Bronx,3,mgp,6,137.8
Bronx,3,other organics,6,0
Bronx,3,paper,6,139.4
Bronx,3,refuse,6,2407.3
Bronx,3,res organics,6,16.4
Bronx,3,school organic,6,61.2
Bronx,3,xmastree,6,0
Bronx,4,leaves organic,6,0
Bronx,4,mgp,6,299.1
Bronx,4,other organics,6,0
Bronx,4,paper,6,254.4
Bronx,4,refuse,6,4188.6
Bronx,4,res organics,6,17.8
Bronx,4,school organic,6,48.3
Bronx,4,xmastree,6,0
Bronx,5,leaves organic,6,0
Bronx,5,mgp,6,303
Bronx,5,other organics,6,0
Bronx,5,paper,6,238.8
Bronx,5,refuse,6,3527.1
Bronx,5,res organics,6,21.3
Bronx,5,school organic,6,58
Bronx,5,xmastree,6,0
Bronx,6,leaves organic,6,0
Bronx,6,mgp,6,166.3
Bronx,6,other organics,6,0
Bronx,6,paper,6,190.8
Bronx,6,refuse,6,3435
Bronx,6,res organics,6,14.6
Bronx,6,school organic,6,36.9
Bronx,6,xmastree,6,0
Bronx,7,leaves organic,6,0
Bronx,7,mgp,6,411.6
Bronx,7,other organics,6,0
Bronx,7,paper,6,291
Bronx,7,refuse,6,3865.2
Bronx,7,res organics,6,48.1
Bronx,7,school organic,6,32.5
Bronx,7,xmastree,6,0
Bronx,8,leaves organic,6,0
Bronx,8,mgp,6,319.5
Bronx,8,other organics,6,0
Bronx,8,paper,6,281.4
Bronx,8,refuse,6,2328
Bronx,8,res organics,6,147.4
Bronx,8,school organic,6,0
Bronx,8,xmastree,6,0
Bronx,9,leaves organic,6,0
Bronx,9,mgp,6,367.8
Bronx,9,other organics,6,0
Bronx,9,paper,6,227.5
Bronx,9,refuse,6,3934.8
Bronx,9,res organics,6,112.6
Bronx,9,school organic,6,0
Bronx,9,xmastree,6,0
Bronx,1,leaves organic,7,0
Bronx,1,mgp,7,145.9
Bronx,1,other organics,7,0
Bronx,1,paper,7,228.7
Bronx,1,refuse,7,3264.7
Bronx,1,res organics,7,18.9
Bronx,1,school organic,7,0
Bronx,1,xmastree,7,0
Bronx,10,leaves organic,7,0
Bronx,10,mgp,7,369.8
Bronx,10,other organics,7,0
Bronx,10,paper,7,292.7
Bronx,10,refuse,7,2765.7
Bronx,10,res organics,7,182.1
Bronx,10,school organic,7,0
Bronx,10,xmastree,7,0
Bronx,11,leaves organic,7,0
Bronx,11,mgp,7,341.4
Bronx,11,other organics,7,0
Bronx,11,paper,7,285.4
Bronx,11,refuse,7,3358.2
Bronx,11,res organics,7,170.4
Bronx,11,school organic,7,24.7
Bronx,11,xmastree,7,0
Bronx,12,leaves organic,7,0
Bronx,12,mgp,7,608.3
Bronx,12,other organics,7,0
Bronx,12,paper,7,344.5
Bronx,12,refuse,7,4088.6
Bronx,12,res organics,7,333.7
Bronx,12,school organic,7,0
Bronx,12,xmastree,7,0
Bronx,2,leaves organic,7,0
Bronx,2,mgp,7,233.3
Bronx,2,other organics,7,0
Bronx,2,paper,7,244
Bronx,2,refuse,7,8194.7
Bronx,2,res organics,7,16
Bronx,2,school organic,7,50.3
Bronx,2,xmastree,7,0
Bronx,3,leaves organic,7,0
Bronx,3,mgp,7,173.9
Bronx,3,other organics,7,0
Bronx,3,paper,7,155.6
Bronx,3,refuse,7,2496.6
Bronx,3,res organics,7,15
Bronx,3,school organic,7,0
Bronx,3,xmastree,7,0
Bronx,4,leaves organic,7,0
Bronx,4,mgp,7,315.8
Bronx,4,other organics,7,0
Bronx,4,paper,7,237.4
Bronx,4,refuse,7,4282.9
Bronx,4,res organics,7,17.9
Bronx,4,school organic,7,0
Bronx,4,xmastree,7,0
Bronx,5,leaves organic,7,0
Bronx,5,mgp,7,329.9
Bronx,5,other organics,7,0
Bronx,5,paper,7,236.3
Bronx,5,refuse,7,3694
Bronx,5,res organics,7,18.9
Bronx,5,school organic,7,32.1
Bronx,5,xmastree,7,0
Bronx,6,leaves organic,7,0
Bronx,6,mgp,7,212.7
Bronx,6,other organics,7,0
Bronx,6,paper,7,204.5
Bronx,6,refuse,7,3391.6
Bronx,6,res organics,7,16.9
Bronx,6,school organic,7,20.6
Bronx,6,xmastree,7,0
Bronx,7,leaves organic,7,0
Bronx,7,mgp,7,461.9
Bronx,7,other organics,7,0
Bronx,7,paper,7,307.3
Bronx,7,refuse,7,4011.7
Bronx,7,res organics,7,52.9
Bronx,7,school organic,7,0
Bronx,7,xmastree,7,0
Bronx,8,leaves organic,7,0
Bronx,8,mgp,7,363.6
Bronx,8,other organics,7,0
Bronx,8,paper,7,318.3
Bronx,8,refuse,7,2428.5
Bronx,8,res organics,7,147.5
Bronx,8,school organic,7,30.4
Bronx,8,xmastree,7,0
Bronx,9,leaves organic,7,0
Bronx,9,mgp,7,411.4
Bronx,9,other organics,7,0
Bronx,9,paper,7,247.9
Bronx,9,refuse,7,4065.7
Bronx,9,res organics,7,116.2
Bronx,9,school organic,7,0
Bronx,9,xmastree,7,0
Bronx,1,leaves organic,8,0
Bronx,1,mgp,8,138.8
Bronx,1,other organics,8,0
Bronx,1,paper,8,213.4
Bronx,1,refuse,8,3125.1
Bronx,1,res organics,8,17.1
Bronx,1,school organic,8,0
Bronx,1,xmastree,8,0
Bronx,10,leaves organic,8,0
Bronx,10,mgp,8,344.9
Bronx,10,other organics,8,0
Bronx,10,paper,8,271.4
Bronx,10,refuse,8,2527.7
Bronx,10,res organics,8,159.5
Bronx,10,school organic,8,0
Bronx,10,xmastree,8,0
Bronx,11,leaves organic,8,0
Bronx,11,mgp,8,316.6
Bronx,11,other organics,8,0
Bronx,11,paper,8,259.4
Bronx,11,refuse,8,2999.8
Bronx,11,res organics,8,156.5
Bronx,11,school organic,8,10
Bronx,11,xmastree,8,0
Bronx,12,leaves organic,8,0
Bronx,12,mgp,8,549.1
Bronx,12,other organics,8,0
Bronx,12,paper,8,316.8
Bronx,12,refuse,8,3718.6
Bronx,12,res organics,8,294.2
Bronx,12,school organic,8,0
Bronx,12,xmastree,8,0
Bronx,2,leaves organic,8,0
Bronx,2,mgp,8,205.2
Bronx,2,other organics,8,0
Bronx,2,paper,8,224.5
Bronx,2,refuse,8,7758.7
Bronx,2,res organics,8,14
Bronx,2,school organic,8,17.3
Bronx,2,xmastree,8,0
Bronx,3,leaves organic,8,0
Bronx,3,mgp,8,133.9
Bronx,3,other organics,8,0
Bronx,3,paper,8,121.1
Bronx,3,refuse,8,2293.5
Bronx,3,res organics,8,12.4
Bronx,3,school organic,8,0
Bronx,3,xmastree,8,0
Bronx,4,leaves organic,8,0
Bronx,4,mgp,8,300.6
Bronx,4,other organics,8,0.7
Bronx,4,paper,8,219.7
Bronx,4,refuse,8,3982.2
Bronx,4,res organics,8,22.4
Bronx,4,school organic,8,0
Bronx,4,xmastree,8,0
Bronx,5,leaves organic,8,0
Bronx,5,mgp,8,306.9
Bronx,5,other organics,8,0
Bronx,5,paper,8,208.8
Bronx,5,refuse,8,3454.5
Bronx,5,res organics,8,18.7
Bronx,5,school organic,8,16.9
Bronx,5,xmastree,8,0
Bronx,6,leaves organic,8,0
Bronx,6,mgp,8,158.8
Bronx,6,other organics,8,0.5
Bronx,6,paper,8,167.5
Bronx,6,refuse,8,3118.2
Bronx,6,res organics,8,12.7
Bronx,6,school organic,8,11.5
Bronx,6,xmastree,8,0
Bronx,7,leaves organic,8,0
Bronx,7,mgp,8,412.7
Bronx,7,other organics,8,0
Bronx,7,paper,8,264.4
Bronx,7,refuse,8,3657.3
Bronx,7,res organics,8,48.6
Bronx,7,school organic,8,0
Bronx,7,xmastree,8,0
Bronx,8,leaves organic,8,0
Bronx,8,mgp,8,321
Bronx,8,other organics,8,0
Bronx,8,paper,8,277.6
Bronx,8,refuse,8,2273.9
Bronx,8,res organics,8,126.6
Bronx,8,school organic,8,13.9
Bronx,8,xmastree,8,0
Bronx,9,leaves organic,8,0
Bronx,9,mgp,8,376.6
Bronx,9,other organics,8,0
Bronx,9,paper,8,218.9
Bronx,9,refuse,8,3781.2
Bronx,9,res organics,8,105.9
Bronx,9,school organic,8,0
Bronx,9,xmastree,8,0
Bronx,1,leaves organic,9,0
Bronx,1,mgp,9,141.4
Bronx,1,other organics,9,0
Bronx,1,paper,9,264.8
Bronx,1,refuse,9,3372.2
Bronx,1,res organics,9,16.4
Bronx,1,school organic,9,68.7
Bronx,1,xmastree,9,0
Bronx,10,leaves organic,9,0
Bronx,10,mgp,9,329.8
Bronx,10,other organics,9,0
Bronx,10,paper,9,260.8
Bronx,10,refuse,9,2522.8
Bronx,10,res organics,9,144.5
Bronx,10,school organic,9,0
Bronx,10,xmastree,9,0
Bronx,11,leaves organic,9,0
Bronx,11,mgp,9,304
Bronx,11,other organics,9,0
Bronx,11,paper,9,273.1
Bronx,11,refuse,9,3200.2
Bronx,11,res organics,9,137.4
Bronx,11,school organic,9,75.6
Bronx,11,xmastree,9,0
Bronx,12,leaves organic,9,0
Bronx,12,mgp,9,537.1
Bronx,12,other organics,9,0
Bronx,12,paper,9,317.3
Bronx,12,refuse,9,3840.5
Bronx,12,res organics,9,267.8
Bronx,12,school organic,9,0
Bronx,12,xmastree,9,0
Bronx,2,leaves organic,9,0
Bronx,2,mgp,9,210.8
Bronx,2,other organics,9,0
Bronx,2,paper,9,224.7
Bronx,2,refuse,9,7903.8
Bronx,2,res organics,9,12.4
Bronx,2,school organic,9,76.6
Bronx,2,xmastree,9,0
Bronx,3,leaves organic,9,0
Bronx,3,mgp,9,142.1
Bronx,3,other organics,9,0
Bronx,3,paper,9,133.2
Bronx,3,refuse,9,2336.5
Bronx,3,res organics,9,13.9
Bronx,3,school organic,9,0
Bronx,3,xmastree,9,0
Bronx,4,leaves organic,9,0
Bronx,4,mgp,9,307.2
Bronx,4,other organics,9,0
Bronx,4,paper,9,249.8
Bronx,4,refuse,9,4169.3
Bronx,4,res organics,9,17.5
Bronx,4,school organic,9,63.3
Bronx,4,xmastree,9,0
Bronx,5,leaves organic,9,0
Bronx,5,mgp,9,312.8
Bronx,5,other organics,9,0
Bronx,5,paper,9,232.4
Bronx,5,refuse,9,3542
Bronx,5,res organics,9,16.5
Bronx,5,school organic,9,63.4
Bronx,5,xmastree,9,0
Bronx,6,leaves organic,9,0
Bronx,6,mgp,9,180
Bronx,6,other organics,9,0
Bronx,6,paper,9,209.7
Bronx,6,refuse,9,3311.7
Bronx,6,res organics,9,13.1
Bronx,6,school organic,9,46.2
Bronx,6,xmastree,9,0
Bronx,7,leaves organic,9,0
Bronx,7,mgp,9,408.5
Bronx,7,other organics,9,0
Bronx,7,paper,9,268.7
Bronx,7,refuse,9,3811.4
Bronx,7,res organics,9,50.3
Bronx,7,school organic,9,0
